element,parent,trade_value,color,dummy_value
Exportations,,13022117476.0,1.0,1183.0
Animal Hides,Exportations,10136310.0,0.002470983893318034,56.333333333333336
"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",Animal Hides,6068489.0,1.0,18.77777777777778
Saddlery,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",77954.0,0.013212898449297192,3.7555555555555555
Trunks and Cases,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",5899841.0,1.0,3.7555555555555555
Leather Apparel,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",76972.0,0.01304645328577499,3.7555555555555555
Other Leather Articles,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",8720.0,0.001478005932702254,3.7555555555555555
Articles of Gut,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",5002.0,0.0008478194581853986,3.7555555555555555
Furskins and artificial fur; manufactures thereof,Animal Hides,63680.0,0.010493551195363458,18.77777777777778
Furskin Apparel,Furskins and artificial fur; manufactures thereof,25777.0,0.6800780940822626,9.38888888888889
Artificial Fur,Furskins and artificial fur; manufactures thereof,37903.0,1.0,9.38888888888889
Raw hides and skins (other than furskins) and leather,Animal Hides,4004141.0,0.6598250404672399,18.77777777777778
Equine and Bovine Hides,Raw hides and skins (other than furskins) and leather,24262.0,0.006584203556153796,2.0864197530864197
Sheep Hides,Raw hides and skins (other than furskins) and leather,1298.0,0.0003522502768068431,2.0864197530864197
Other Hides and Skins,Raw hides and skins (other than furskins) and leather,282041.0,0.07654007728881267,2.0864197530864197
Tanned Equine and Bovine Hides,Raw hides and skins (other than furskins) and leather,3684880.0,1.0,2.0864197530864197
Leather of Other Animals,Raw hides and skins (other than furskins) and leather,100.0,2.713792579405571e-05,2.0864197530864197
Chamois Leather,Raw hides and skins (other than furskins) and leather,271.0,7.354377890189097e-05,2.0864197530864197
Patent Leather,Raw hides and skins (other than furskins) and leather,19.0,5.156205900870584e-06,2.0864197530864197
Leather Waste,Raw hides and skins (other than furskins) and leather,6314.0,0.0017134886346366774,2.0864197530864197
Leather Sheets,Raw hides and skins (other than furskins) and leather,4956.0,0.001344955602353401,2.0864197530864197
Animal Products,Exportations,383287338.0,0.09343605697840192,56.333333333333336
Animal originated products; not elsewhere specified or included,Animal Products,9085057.0,0.056795927698143636,11.266666666666667
Animal Organs,Animal originated products; not elsewhere specified or included,2457420.0,0.3844805307271354,3.755555555555556
Pharmaceutical Animal Products,Animal originated products; not elsewhere specified or included,236104.00000000003,0.036940120625208385,3.755555555555556
Other Inedible Animal Products,Animal originated products; not elsewhere specified or included,6391533.0,1.0,3.755555555555556
Dairy products and other edible products of animal origin,Animal Products,159959655.0,1.0,11.266666666666667
Milk,Dairy products and other edible products of animal origin,45278925.0,0.8991094613719962,1.251851851851852
Concentrated Milk,Dairy products and other edible products of animal origin,50359747.0,1.0,1.251851851851852
Fermented Milk Products,Dairy products and other edible products of animal origin,10361878.0,0.2057571496536708,1.251851851851852
Whey,Dairy products and other edible products of animal origin,21079235.0,0.41857309171946394,1.251851851851852
Butter,Dairy products and other edible products of animal origin,5542632.0,0.11006075943947852,1.251851851851852
Cheese,Dairy products and other edible products of animal origin,14129313.0,0.2805675930024033,1.251851851851852
Eggs,Dairy products and other edible products of animal origin,12732884.000000002,0.2528385220044891,1.251851851851852
Processed Egg Products,Dairy products and other edible products of animal origin,447492.0,0.008885906436344885,1.251851851851852
Honey,Dairy products and other edible products of animal origin,27549.0,0.000547044050876586,1.251851851851852
"Fish and crustaceans, molluscs and other aquatic invertebrates",Animal Products,91436471.0,0.5716220818305716,11.266666666666667
Live Fish,"Fish and crustaceans, molluscs and other aquatic invertebrates",244188.0,0.005648656559932346,1.6095238095238096
